Question Number,Question,Concepts
1,Consider the following pairs: Historical place Well - known for 1. Burzahom : Rock-cut shrines 2. Chandra - ketugarh : Terracotta art 3. Ganeshwar : Copper artefacts Which of the pairs given above is/are correctly matched?,1. Rock-cut shrines; 2. Terracotta art; 3. Copper artefacts
2,"In the context of the history of India, consider the following pairs: Term Description 1. Eripatti : Land revenue which was set apart for the maintenance of the village tank 2. Taniyurs : Villages donated to single Brahmin or a group of Brahmins 3. Ghatikas : Colleges generally attached to the temples Which of the pairs given above is correctly matched?","""Land revenue""; ""Village donation""; ""Temple colleges"""
3,"With reference to the scientific progress of Ancient India, Which of the statements given below are correct? 1. Different kinds of specialised surgical instruments were in common use by the 1st century AD 2. Transplant of internal organs in the human body began in the 3rd century AD 3. The concept of sine of an angle was known in the 5th century AD. 4. The concept of cyclic quadrilateral was known in the 7th century AD. Select the correct answer using the codes given below:","""Ancient Indian Medicine""; ""Surgical Instruments""; ""Transplantation""; ""Geometry"""
4,"With reference to the Guilds (Shrenis) of ancient India that played a very important role in the country's economy, which of the following statements is/are true? 1. Every Guild was registered with the central authority of the state and the King was the chief administrative authority on them 2. The wages, rules of work, standards and prices were fixed by the Guild 3. The guild had judicial powers over its own members. Select the correct answer using the codes given below:","""Guilds (Shrenis)""; ""Economy""; ""Central authority"""
5,Which one of the following ancient towns is well-known for its elaborate system of water harvesting and management by building a series of dams and channelizing water into connected reservoirs?,"""Ancient civilizations""; ""Water management""; ""Agriculture"""
6,Which one of the following is not a Harappan site?,Indus Valley Civilization; Harappan sites; Not specified
7,Which of the following characterises/characterises the people of the Indus Civilization? 1. They possessed great palaces and temples. 2. They worshipped both male and female deities. 3. They employed horse-drawn chariots in warfare. Select the correct statement/statements using the codes given below,"""Indus Valley Civilization""; ""Religion""; ""Warfare"""
8,"Regarding the Indus valley civilization, consider the following statements: 1. It was predominantly a secular civilization and the religious element, though present, did not dominate the scene. 2. During this period, cotton was used for manufacturing textiles in India. Which of the statements given above is/are correct?","""Indus Valley Civilization""; ""Cotton manufacturing""; ""Religion in ancient India"""
9,"With reference to the difference between the culture of Rigvedic Aryans and Indus Valley people, which of the following statements is/are correct? 1. Rigvedic Aryans used the coat of mail and helmet in warfare whereas the people of the Indus Valley Civilization did not leave any evidence of using them. 2. Rigvedic Aryans knew gold, silver and copper whereas Indus Valley people knew only copper and iron. 3. Rigvedic Aryans had domesticated the horse whereas there is no evidence of Indus Valley people having been aware of this animal. Select the correct answer using the code given below:","""Indus Valley Civilization""; ""Warfare""; ""Metallurgy"""
10,The Religion of early Vedic Aryans was primarily of:,"The Religion of early Vedic Aryans was primarily of:

1. Vedism; 2. Hinduism; 3. Indo-European Religions."
11,"According to Kautilya's Arthashastra, which of the following are correct? 1. A person could be a slave as a result of a judicial punishment. 2. If a female slave bore her master a son, she was legally free. 3. If a son born to a female slave was fathered by her master the son was entitled to the legal status of the master's son. Which of the statements given above are correct?",Kautilya's Arthashastra; Slavery; Legal status
12,"Who among the following rulers advised his subjects through this inscription? 'Whosoever praises his religious sect or blames other sects out of excessive devotion to his own sect, with the view of glorifying his own sect, he rather injures his own sect very severely.'","""Religious tolerance""; ""Sectarianism""; ""Propaganda"""
13,In which of the following relief sculpture inscriptions is 'Ranyo Ashoka' (King Ashoka) mentioned along with the stone portrait of Ashoka?,"""Ashokan Edicts""; ""Relief sculpture""; ""King Ashoka"""
14,Who of the following had first deciphered the edicts of Emperor Ashoka?,"""Ashokan Edicts""; ""Emperor Ashoka""; ""Deciphering"""
15,"With reference to Indian history, consider the following texts: 1. Nettipakarana 2. Parishishta Parvan 3. Avadanasataka 4. Trishashtilakshana Mahapurana Which of the above are Jaina texts?",1. Jaina texts; 2. Indian history; 3. Religious literature
16,"With reference to Indian history, consider the following pairs: Historical person Known as 1. Aryadeva Jaina scholar 2. Dignaga Buddhist scholar 3. Nathamuni Vaishnava scholar How many pairs given above are correctly matched?",1. Jainism; 2. Buddhism; 3. Vaishnavism
17,"With reference to the history of Ancient India, which of the following was/were common to both Buddhism and Jainism? 1. Avoidance of extremities of penance and enjoyment 2. Indifference to the authority of Vedas 3. Denial of the efficacy of rituals Select the correct answer using the codes given below:",1. Asceticism; 2. Non-Vedic beliefs; 3. Rejection of ritualistic practices.
18,The Jain philosophy holds that the world is created and maintained by:,"""Jain philosophy""; ""Creation and maintenance of the world""; ""Philosophical beliefs"""
19,"From the decline of Guptas until the rise of Harshavardhana in the early seventh century, which of the following kingdoms were holding power in Northern India? 1. The Guptas of Magadha 2. The Paramaras of Malwa 3. The Pushyabhutis of Thanesar 4. The Maukharis of Kanauj 5. The Yadavas of Devagiri 6. The Maitrakas of Valabhi Select the correct answer using the code given below:","Here are the top 3 underlying concepts being tested in the question:

1. Gupta Empire
2. Northern Indian Kingdoms
3. Political and Military Dynasties"
20,"With reference to the history of India, the terms \kulyavapa\"" and \""dronavapa\"" denote""","""Indus Valley Civilization""; ""Vedic Period""; ""Ashokan Empire"""
21,"With reference to the period of the Gupta dynasty in ancient India, the towns Ghantasala, Kadura and Chaul were well known as:","""Gupta Period Literature""; ""Indian Epics""; ""Indian Philosophy"""
22,"With reference to forced labour (Vishti) in India during the Gupta period, which one of the following statements is correct?","""Forced labor (Vishti)""; ""Gupta period""; ""India"""
23,"The Chinese traveller Yuan Chwang (Hiuen Tsang) who visited India recorded the general conditions and culture of India at that time. In this context, which of the following statements is/are correct? 1. The roads and river routes were completely immune from robbery. 2. As regards punishment for offences, ordeals by fire, water and poison were the instruments for determining the innocence or guilt of a person. 3. The tradesmen had to pay duties at ferries and barrier stations. Select the correct answer using the codes given below.",1. Roads and river routes; 2. Punishment for offenses; 3. Tradesmen and duties.
24,"India maintained its early cultural contacts and trade links with Southeast Asia across the Bay of Bengal. For this pre-eminence of the early maritime history of the Bay of Bengal, which of the following could be the most convincing Solution/Solutions?","""Indian Ocean""; ""Maritime history""; ""Early cultural contacts"""
25,"With reference to the history of ancient India, Bhavabhuti, Hastimalla and Kshemeshvara were famous:","Bhavabhuti, Hastimalla, and Kshemeshvara were famous in the history of ancient India; therefore, the underlying concepts being tested in the question are:

* Ancient India
* Bhavabhuti
* Hastimalla
* Kshemeshvara"
