Question Number,Question,Concepts
1,"If the sizes of charged bodies are very small compared to the distances between them, we treat them as ____________.","""Electric charge""; ""Coulomb's Law""; ""Electrostatics"""
2,What is the dielectric constant of a metal?,"""Dielectric constant""; ""Metals""; ""Electricity"""
3,"————— gives the information on field strength, direction, and nature of the charge.","""Electromagnetic field""; ""Charge""; ""Electricity"""
4,The work done in moving a unit positive test charge over a closed path in an electric field is _____________.,"""Electric charge""; ""Electric field""; ""Work done"""
5,What happens when a glass rod is rubbed with silk?,"""Friction""; ""Electricity""; ""Surface tension"""
6,What is the formula to find the work done in rotating the dipole in a uniform magnetic field from θ1 to θ2?,"""Magnetic field""; ""Dipole""; ""Work done""; ""Rotating"""
7,The magnetic dipole moment of a magnetic dipole is given by the formula ________.,"""Magnetic dipole moment""; ""Magnetic field""; ""Magnetic poles"""
8,A freely suspended magnet aligns in which direction?,"""Magnetism""; ""Polarity""; ""Gravity"""
9,The power factor is one for which of the following?,"""Power factor""; ""Electric circuits""; ""AC/DC power"""
10,Which of the following statements is true about the LCR circuit connected to an AC source at resonance?,1. LCR circuit; 2. Resonance; 3. AC source
11,How can the fringe width increase in Young’s double-slit experiment?,"""Young's double-slit experiment""; ""Fringe width""; ""Wave interference""; ""Diffraction""; ""Light behavior"""
12,Which of the following light phenomena confirms the transverse nature of light?,"""Transverse nature of light""; ""Light phenomena""; ""Physics"""
13,Polaroid glasses are used in sunglasses because,"""Polarization""; ""Light""; ""Optics"""
14,Which of the following does the wave theory of light not explain?,Wave theory of light; Polarization; Refraction
15,Which of the following is conserved when light waves interfere?,"""Wave interference""; ""Wavelength""; ""Amplitude""; ""Frequency"""
16,What is the geometric shape of the wavefront that originates when a plane wave passes through a convex lens?,"""Wavefronts""; ""Convex lenses""; ""Geometric shapes"""
17,"A radioactive nucleus emits a beta particle, then the parent and daughter nuclei are","""Radioactive decay""; ""Nuclear fusion""; ""Nuclear fission"""
18,A nucleus undergoes gamma decay due to,"""Nuclear physics""; ""Gamma decay""; ""Radioactivity"""
19,Isotones have the same number of,"""Isotopes""; ""Nuclear physics""; ""Radioactivity"""
20,What is the phase difference between electric and magnetic fields in an electromagnetic wave?,"""Electromagnetic waves""; ""Phase difference""; ""Electric and magnetic fields"""
